programAk,tradeName,displayTradeName,promptTradeName,socCode,description
192,Iron Worker (Outside),Iron Worker,Iron Worker (Outside),47-2221.00,"An outside Iron Worker builds and repairs the steel skeletons of buildings, bridges, towers, and other large structures. They unload and position heavy beams, bolt and weld pieces together, install metal decking, and work high above the ground using cranes, lifts, and safety gear. Their work helps keep structures strong, stable, and safe to use."
202,Elevator/Escalator Constructor & Modernizer,Elevator/Escalator Constructor and Modernizer,Elevator/Escalator Constructor and Modernizer,47-4021.00,"An Elevator/Escalator Constructor and Modernizer installs, rebuilds, and updates elevators, escalators, and moving walkways in buildings. They assemble rails, cars, doors, motors, wiring, and control systems, then test, adjust, and repair equipment so it runs smoothly. Their work keeps people and goods moving safely and reliably through everyday places like offices, malls, and hospitals."
209,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
232,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
267,Glazier,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
281,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
288,Glazier,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
311,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
316,Carpenter (Heavy-Highway),Carpenter,Carpenter (Heavy-Highway),47-2031.00,"A Carpenter in heavy-highway construction builds and installs wood forms, supports, and temporary structures used to shape concrete for bridges, roads, tunnels, and other large projects. They measure, cut, fasten, and brace materials, often working outdoors with saws, levels, and drills. Their work helps create strong structures and keeps transportation systems safe and functioning."
323,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
333,Drafter (Tool Design),Drafter,Drafter (Tool Design),17-3013.00,"A Drafter in tool design turns ideas for tools, dies, molds, and fixtures into detailed technical drawings. They use computer drafting software to show exact sizes, shapes, materials, and how parts fit together, often updating plans as designs change. Their work helps machine shops build accurate tools that keep manufacturing running smoothly and safely."
368,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
388,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
394,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
435,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
449,Plant Maintenance-Mechanic (4 Year),Plant Maintenance-Mechanic,Plant Maintenance-Mechanic (),49-9071.00,"A Plant Maintenance-Mechanic keeps factory and plant equipment working properly. They inspect machines, replace worn parts, lubricate moving equipment, line up belts and gears, troubleshoot breakdowns, and use hand and power tools to repair pumps, motors, conveyors, and other machinery. Their work keeps production running, reduces downtime, and helps equipment operate safely."
502,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
510,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
529,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
546,"Tile, Marble and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-3011.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for smooth finished surfaces. They mix mortar or grout, patch and level base layers, polish rough spots, clean edges, and help set tile, marble, or terrazzo into place. Their work helps surfaces last longer, look neat, and stay safe and easy to use."
551,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
558,Operating Engineer (Grade and Paving Equipment),Operating Engineer,Operating Engineer (Grade and Paving Equipment),47-2073.00,"An Operating Engineer working with grading and paving equipment runs heavy machines that shape ground and lay road surfaces. They steer graders, rollers, pavers, and loaders, level soil and gravel, spread asphalt, and watch controls to keep the work even and smooth. Their work helps build and maintain roads, parking lots, and surfaces people use every day."
564,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
590,Maintenance Machinist,Maintenance Machinist,Maintenance Machinist,51-4041.00,"A Maintenance Machinist keeps factory and plant equipment working by making, repairing, and fitting metal parts. They use lathes, mills, grinders, and measuring tools to rebuild worn pieces, line up machinery, and fix breakdowns on the shop floor. Their work keeps machines running safely, reduces downtime, and supports everyday production."
627,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
631,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
656,"Tile, Marble and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-3011.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for smooth finished surfaces. They mix mortar or grout, patch and level base layers, polish rough spots, clean edges, and help set tile, marble, or terrazzo into place. Their work helps surfaces last longer, look neat, and stay safe and easy to use."
668,Iron Worker (Outside),Iron Worker,Iron Worker (Outside),47-2221.00,"An outside Iron Worker builds and repairs the steel skeletons of buildings, bridges, towers, and other large structures. They unload and position heavy beams, bolt and weld pieces together, install metal decking, and work high above the ground using cranes, lifts, and safety gear. Their work helps keep structures strong, stable, and safe to use."
681,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
717,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
728,Fire Fighter-EMT,Fire Fighter-EMT,Fire Fighter-EMT,33-2011.00,"A Fire Fighter-EMT responds to fires, medical emergencies, car crashes, and rescue calls. They drive emergency vehicles, carry hoses and tools, enter smoke-filled spaces, give first aid, use oxygen and heart monitors, and help move injured people to ambulances. Their work puts out fires, treats injuries, and helps keep people, homes, and public places safer."
744,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
764,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
795,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
858,Roofer,Roofer,Roofer,47-2181.00,"A Roofer builds, repairs, and replaces roofs on homes, shops, and other buildings. They tear off old shingles, lay underlayment, fasten shingles, tiles, or metal panels, seal flashing around vents and chimneys, and work high up in changing weather. Their work keeps buildings dry, insulated, and protected from leaks and damage."
877,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
881,Electrical Maintenance Technician,Electrical Maintenance Technician,Electrical Maintenance Technician,47-2111.00,"An Electrical Maintenance Technician keeps electrical systems and equipment working safely in places like factories, buildings, or plants. They inspect wiring, motors, control panels, and machines, test for faults, replace worn parts, and make repairs using hand tools and meters. Their work keeps power, lighting, and equipment running safely and reliably."
918,"Pointer, Caulker and Cleaner","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-4099.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of buildings, bridges, and chimneys. They scrape out damaged mortar, pack fresh mortar between bricks or stone, seal gaps with caulk, and wash or blast away dirt and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
930,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
961,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
998,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
1027,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
1040,Manufacturing Engineering Technician,Manufacturing Engineering Technician,Manufacturing Engineering Technician,17-2112.03,"A Manufacturing Engineering Technician helps improve how products are made in factories. They set up and test equipment, check measurements, track production problems, update drawings and instructions, and help workers use tools and machines the right way. Their work helps factories build parts more accurately, reduce waste, and keep production running smoothly."
1067,Plant Maintenance-Millwright,Plant Maintenance-Millwright,Plant Maintenance-Millwright,49-9044.00,"A Plant Maintenance-Millwright installs, moves, repairs, and lines up heavy machines in factories, plants, and mills. They take apart motors, pumps, conveyors, and gear systems, replace worn parts, use precision tools to set equipment correctly, and test it after repairs. Their work keeps production equipment running safely, smoothly, and with less downtime."
1100,Teacher,Teacher,Teacher,25-2021.00,"A Teacher plans lessons, explains ideas, leads class activities, and helps students learn new skills and information. They teach from books, boards, screens, and hands-on materials, answer questions, mark work, and keep the classroom organized and focused each day. Their work builds knowledge, improves skills, and helps schools keep learning on track."
1131,Childcare Assistant,Childcare Assistant,Childcare Assistant,39-9011.00,"A Childcare Assistant helps care for infants and young children in daycares, preschools, or after-school programs. They watch children closely, prepare snacks, help with play and learning activities, change diapers, tidy rooms, and support nap and outdoor time. Their work helps keep children safe, clean, active, and cared for each day."
1137,Piano Builder,Piano Builder,Piano Builder,49-9063.00,"A Piano Builder makes and rebuilds pianos by hand, shaping wood parts, fitting strings and keys, installing felt and metal pieces, and carefully adjusting the action, pedals, and sound. They use measuring tools, clamps, sanders, and tuning methods at benches and workshop floors. Their work builds instruments that play smoothly, sound right, and last for years."
1163,Plant Maintenance-Millwright,Plant Maintenance-Millwright,Plant Maintenance-Millwright,49-9044.00,"A Plant Maintenance-Millwright installs, moves, repairs, and lines up heavy machines in factories, plants, and mills. They take apart motors, pumps, conveyors, and gear systems, replace worn parts, use precision tools to set equipment correctly, and test it after repairs. Their work keeps production equipment running safely, smoothly, and with less downtime."
1177,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1201,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1228,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
1261,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
1273,Plant Maintenance-Mechanic (4 Year),Plant Maintenance-Mechanic,Plant Maintenance-Mechanic (),49-9071.00,"A Plant Maintenance-Mechanic keeps factory and plant equipment working properly. They inspect machines, replace worn parts, lubricate moving equipment, line up belts and gears, troubleshoot breakdowns, and use hand and power tools to repair pumps, motors, conveyors, and other machinery. Their work keeps production running, reduces downtime, and helps equipment operate safely."
1325,Iron Worker (Outside),Iron Worker,Iron Worker (Outside),47-2221.00,"An outside Iron Worker builds and repairs the steel skeletons of buildings, bridges, towers, and other large structures. They unload and position heavy beams, bolt and weld pieces together, install metal decking, and work high above the ground using cranes, lifts, and safety gear. Their work helps keep structures strong, stable, and safe to use."
1339,Maintenance Machinist,Maintenance Machinist,Maintenance Machinist,51-4041.00,"A Maintenance Machinist keeps factory and plant equipment working by making, repairing, and fitting metal parts. They use lathes, mills, grinders, and measuring tools to rebuild worn pieces, line up machinery, and fix breakdowns on the shop floor. Their work keeps machines running safely, reduces downtime, and supports everyday production."
1349,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
1415,Maintenance Mechanic (Automatic Equipment),Maintenance Mechanic,Maintenance Mechanic (Automatic Equipment),49-9041.00,"A Maintenance Mechanic who works on automatic equipment installs, inspects, repairs, and adjusts machines that run by themselves in factories, plants, or large buildings. They replace worn parts, lubricate moving pieces, test controls, and troubleshoot breakdowns with tools and meters. Their work keeps equipment running safely, smoothly, and with less downtime."
1436,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
1439,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
1490,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
1493,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
1505,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1518,Aircraft Refinishing Paint Technician,Aircraft Refinishing Paint Technician,Aircraft Refinishing Paint Technician,49-3011.00,"An Aircraft Refinishing Paint Technician prepares and repaints aircraft surfaces. They wash and sand panels, strip old coatings, mask windows and parts, mix primers and paint, spray smooth finishes, and inspect for flaws or damage. Their work helps protect aircraft from rust, wear, and weather while keeping planes looking clean and easier to maintain."
1524,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
1537,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
1540,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1547,Carpenter (Heavy-Highway),Carpenter,Carpenter (Heavy-Highway),47-2031.00,"A Carpenter in heavy-highway construction builds and installs wood forms, supports, and temporary structures used to shape concrete for bridges, roads, tunnels, and other large projects. They measure, cut, fasten, and brace materials, often working outdoors with saws, levels, and drills. Their work helps create strong structures and keeps transportation systems safe and functioning."
1564,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
1569,Building Maintenance Mechanic,Building Maintenance Mechanic,Building Maintenance Mechanic,49-9071.00,"A Building Maintenance Mechanic keeps a building’s systems and equipment working properly. They inspect and repair heating, cooling, plumbing, lighting, doors, pumps, and other parts of the property, using hand and power tools to fix problems and do routine upkeep. Their work keeps buildings safe, comfortable, clean, and running day to day."
1597,Electrical (Outside) Line Worker,Electrical Line Worker,Electrical (Outside) Line Worker,49-9051.00,"An outside Electrical Line Worker builds, repairs, and maintains overhead and underground power lines and related equipment. They climb poles or work from bucket trucks, string wire, replace damaged lines, connect transformers, and restore service after storms and outages. Their work keeps electricity flowing to homes, schools, businesses, and streetlights safely and reliably."
1606,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
1608,Certified Nursing Assistant (CNA),Certified Nursing Assistant,Certified Nursing Assistant (CNA),31-1131.00,"A Certified Nursing Assistant helps care for patients in hospitals, nursing homes, and other healthcare settings. They bathe, dress, lift, and feed patients, check basic vital signs, change bedding, and help people move safely between beds and chairs. Their work keeps patients clean, comfortable, and safer while helping daily care run smoothly."
1622,Ornamental Iron Worker,Ornamental Iron Worker,Ornamental Iron Worker,47-4099.00,"An Ornamental Iron Worker makes and installs decorative metal parts for buildings, fences, gates, railings, stairs, and balconies. They cut, weld, bend, and bolt iron or steel pieces into place, often using shop drawings, hoists, and power tools. Their work adds strength, detail, and safe barriers to the places people use every day."
1630,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
1634,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
1644,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
