sourceUrl,regions,notes
https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-3-rochester-1,"[""Finger Lakes""]",locationSummary: alias 'rochester' -> Finger Lakes
https://dol.ny.gov/news/capital-sheet-metal-workers-jatc-local-83-0,"[""Capital Region"", ""Mohawk Valley"", ""North Country""]",residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country
https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-2,"[""New York City""]",locationSummary: region 'new york city' -> New York City
https://dol.ny.gov/news/carpenters-jatc-nyc-vicinity-3,"[""New York City""]",locationSummary: region 'new york city' -> New York City
https://dol.ny.gov/news/central-new-york-electrical-training-alliance-1,"[""Central New York"", ""Finger Lakes"", ""Mohawk Valley"", ""Southern Tier""]",locationSummary: region 'mohawk valley' -> Mohawk Valley | locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes | locationSummary: region 'central' -> Central New York
https://dol.ny.gov/news/construction-general-building-laborers-lu-79,"[""Long Island""]",locationSummary: region 'long island' -> Long Island
https://dol.ny.gov/news/construction-general-laborers-local-union-633-0,"[""Central New York""]",locationSummary: locality 'east syracuse' -> Central New York
https://dol.ny.gov/news/eastern-millwright-regional-council-apprenticeship-training-fund,"[""Capital Region"", ""Finger Lakes"", ""Hudson Valley"", ""Long Island"", ""Mohawk Valley"", ""New York City"", ""North Country"", ""Southern Tier"", ""Western New York""]",locationSummary: region 'western new york' -> Western New York | locationSummary: region 'capital district' -> Capital Region | locationSummary: region 'mohawk valley' -> Mohawk Valley | locationSummary: region 'north country' -> North Country | locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes | residencyRequirement: county_name 'westchester' -> Hudson Valley | residencyRequirement: county_name 'dutchess' -> Hudson Valley | residencyRequirement: county_name 'rockland' -> Hudson Valley | residencyRequirement: county_name 'richmond' -> New York City | residencyRequirement: county_name 'suffolk' -> Long Island | residencyRequirement: county_name 'orange' -> Hudson Valley | residencyRequirement: county_name 'putnam' -> Hudson Valley | residencyRequirement: county_name 'nassau' -> Long Island | residencyRequirement: county_name 'queens' -> New York City | residencyRequirement: county_name 'bronx' -> New York City | residencyRequirement: county_name 'kings' -> New York City | allRequirements: county_name 'westchester' -> Hudson Valley | allRequirements: county_name 'dutchess' -> Hudson Valley | allRequirements: county_name 'rockland' -> Hudson Valley | allRequirements: county_name 'richmond' -> New York City | allRequirements: county_name 'suffolk' -> Long Island | allRequirements: county_name 'orange' -> Hudson Valley | allRequirements: county_name 'putnam' -> Hudson Valley | allRequirements: county_name 'nassau' -> Long Island | allRequirements: county_name 'queens' -> New York City | allRequirements: county_name 'bronx' -> New York City | allRequirements: county_name 'kings' -> New York City
https://dol.ny.gov/news/eastern-new-york-laborers-training-center,"[""Capital Region"", ""Mohawk Valley""]",locationSummary: alias 'albany' -> Capital Region | locationSummary: locality 'utica' -> Mohawk Valley
https://dol.ny.gov/news/electricians-jac-binghamton-ibew-lu-325,"[""Capital Region"", ""Mohawk Valley"", ""North Country"", ""Southern Tier""]",residencyRequirement: county 'broome county' -> Southern Tier | residencyRequirement: county_name 'chenango' -> Southern Tier | residencyRequirement: county_name 'delaware' -> Southern Tier | residencyRequirement: county_name 'otsego' -> Mohawk Valley | residencyRequirement: county_name 'tioga' -> Southern Tier | allRequirements: county 'chenango county' -> Southern Tier | allRequirements: county 'delaware county' -> Southern Tier | allRequirements: county 'otsego county' -> Mohawk Valley | allRequirements: county 'broome county' -> Southern Tier | allRequirements: county 'tioga county' -> Southern Tier | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'delaware' -> Southern Tier | allRequirements: county_name 'tompkins' -> Southern Tier | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'tioga' -> Southern Tier
https://dol.ny.gov/news/electricians-jac-binghamton-ibew-lu-325-1,"[""Capital Region"", ""Mohawk Valley"", ""North Country"", ""Southern Tier""]",residencyRequirement: county 'broome county' -> Southern Tier | residencyRequirement: county_name 'chenango' -> Southern Tier | residencyRequirement: county_name 'delaware' -> Southern Tier | residencyRequirement: county_name 'otsego' -> Mohawk Valley | residencyRequirement: county_name 'tioga' -> Southern Tier | allRequirements: county 'chenango county' -> Southern Tier | allRequirements: county 'delaware county' -> Southern Tier | allRequirements: county 'otsego county' -> Mohawk Valley | allRequirements: county 'broome county' -> Southern Tier | allRequirements: county 'tioga county' -> Southern Tier | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'delaware' -> Southern Tier | allRequirements: county_name 'tompkins' -> Southern Tier | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'tioga' -> Southern Tier
https://dol.ny.gov/news/electricians-jac-buffalo-lu-41-0,"[""Finger Lakes"", ""Western New York""]",residencyRequirement: county 'cattaraugus county' -> Western New York | residencyRequirement: county 'genesee county' -> Finger Lakes | residencyRequirement: county 'wyoming county' -> Finger Lakes | residencyRequirement: county 'erie county' -> Western New York | allRequirements: county 'cattaraugus county' -> Western New York | allRequirements: county 'genesee county' -> Finger Lakes | allRequirements: county 'wyoming county' -> Finger Lakes | allRequirements: county 'erie county' -> Western New York
https://dol.ny.gov/news/electricians-jac-elmira-lu-139-0,"[""Finger Lakes"", ""Hudson Valley"", ""Southern Tier"", ""Western New York""]",locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'western' -> Western New York | residencyRequirement: county_name 'schuyler' -> Southern Tier | residencyRequirement: county_name 'allegany' -> Western New York | residencyRequirement: county_name 'chemung' -> Southern Tier | residencyRequirement: county_name 'steuben' -> Southern Tier | residencyRequirement: county_name 'tioga' -> Southern Tier | allRequirements: county 'schuyler county' -> Southern Tier | allRequirements: county 'allegany county' -> Western New York | allRequirements: county 'chemung county' -> Southern Tier | allRequirements: county 'steuben county' -> Southern Tier | allRequirements: county 'tioga county' -> Southern Tier | allRequirements: county_name 'genesee' -> Finger Lakes | allRequirements: county_name 'orange' -> Hudson Valley
https://dol.ny.gov/news/electricians-jac-ithaca-241-0,"[""Central New York"", ""Finger Lakes"", ""Southern Tier""]",locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes | locationSummary: region 'central' -> Central New York | residencyRequirement: county_name 'schuyler' -> Southern Tier | residencyRequirement: county_name 'tompkins' -> Southern Tier | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'seneca' -> Finger Lakes | residencyRequirement: county_name 'tioga' -> Southern Tier | allRequirements: county 'schuyler county' -> Southern Tier | allRequirements: county 'tompkins county' -> Southern Tier | allRequirements: county 'cayuga county' -> Central New York | allRequirements: county 'seneca county' -> Finger Lakes | allRequirements: county 'tioga county' -> Southern Tier | allRequirements: county_name 'schuyler' -> Southern Tier | allRequirements: county_name 'tompkins' -> Southern Tier | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'seneca' -> Finger Lakes | allRequirements: county_name 'tioga' -> Southern Tier
https://dol.ny.gov/news/electricians-jac-watertown-local-910-0,"[""North Country""]",locationSummary: alias 'watertown' -> North Country
https://dol.ny.gov/news/finishing-trades-institute-new-york-5,"[""Long Island""]",locationSummary: region 'long island' -> Long Island
https://dol.ny.gov/news/finishing-trades-institute-western-central-new-york-oswego,"[""Central New York"", ""North Country""]",locationSummary: region 'north country' -> North Country | locationSummary: region 'central' -> Central New York
https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-buffalo,"[""Finger Lakes"", ""Southern Tier"", ""Western New York""]",locationSummary: region 'western new york' -> Western New York | locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes
https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-ithaca,"[""Central New York"", ""Mohawk Valley"", ""Southern Tier""]",locationSummary: region 'mohawk valley' -> Mohawk Valley | locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'central' -> Central New York
https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-rochester,"[""Central New York""]",locationSummary: region 'central new york' -> Central New York
https://dol.ny.gov/news/finishing-trades-institute-western-central-ny-syracuse,"[""Central New York"", ""Finger Lakes"", ""Mohawk Valley""]",locationSummary: region 'mohawk valley' -> Mohawk Valley | locationSummary: region 'finger lakes' -> Finger Lakes | locationSummary: region 'central' -> Central New York
https://dol.ny.gov/news/general-building-laborers-local66,"[""Long Island""]",residencyRequirement: county_name 'suffolk' -> Long Island | residencyRequirement: county_name 'nassau' -> Long Island | allRequirements: county_name 'suffolk' -> Long Island | allRequirements: county_name 'nassau' -> Long Island
https://dol.ny.gov/news/geneva-electrical-jatc-local-840-0,"[""Central New York"", ""Finger Lakes""]",residencyRequirement: county 'onondaga county' -> Central New York | residencyRequirement: county 'ontario county' -> Finger Lakes | residencyRequirement: county 'cayuga county' -> Central New York | residencyRequirement: county 'seneca county' -> Finger Lakes | residencyRequirement: county 'wayne county' -> Finger Lakes | residencyRequirement: county 'yates county' -> Finger Lakes | residencyRequirement: county_name 'seneca' -> Finger Lakes | allRequirements: county 'cayuga county' -> Central New York | allRequirements: county 'onondaga county' -> Central New York | allRequirements: county 'ontario county' -> Finger Lakes | allRequirements: county_name 'seneca' -> Finger Lakes | allRequirements: county 'seneca county' -> Finger Lakes | allRequirements: county 'wayne county' -> Finger Lakes | allRequirements: county 'yates county' -> Finger Lakes
https://dol.ny.gov/news/geneva-electrical-jatc-local-840-1,"[""Central New York"", ""Finger Lakes""]",residencyRequirement: county 'onondaga county' -> Central New York | residencyRequirement: county 'ontario county' -> Finger Lakes | residencyRequirement: county 'cayuga county' -> Central New York | residencyRequirement: county 'seneca county' -> Finger Lakes | residencyRequirement: county 'wayne county' -> Finger Lakes | residencyRequirement: county 'yates county' -> Finger Lakes | residencyRequirement: county_name 'seneca' -> Finger Lakes | allRequirements: county 'onondaga county' -> Central New York | allRequirements: county 'ontario county' -> Finger Lakes | allRequirements: county 'cayuga county' -> Central New York | allRequirements: county 'seneca county' -> Finger Lakes | allRequirements: county 'wayne county' -> Finger Lakes | allRequirements: county 'yates county' -> Finger Lakes | allRequirements: county_name 'seneca' -> Finger Lakes
https://dol.ny.gov/news/heat-frost-insulation-allied-workers-lu-26-0,"[""Finger Lakes""]",locationSummary: alias 'rochester' -> Finger Lakes
https://dol.ny.gov/news/high-rise-concrete-carpenters-jatc-new-york-city-1,"[""New York City""]",locationSummary: region 'new york city' -> New York City
https://dol.ny.gov/news/international-union-bricklayers-allied-craftsmen-local-3-ny-ithaca-chapter-0,"[""Southern Tier""]",locationSummary: locality 'whitney point' -> Southern Tier
https://dol.ny.gov/news/iron-workers-local-union-6,"[""Finger Lakes"", ""Southern Tier"", ""Western New York""]",locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes | locationSummary: region 'western' -> Western New York | residencyRequirement: county_name 'cattaraugus' -> Western New York | residencyRequirement: county_name 'chautauqua' -> Western New York | residencyRequirement: county_name 'allegany' -> Western New York | residencyRequirement: county_name 'genesee' -> Finger Lakes | residencyRequirement: county_name 'wyoming' -> Finger Lakes | residencyRequirement: county_name 'steuben' -> Southern Tier | residencyRequirement: county_name 'erie' -> Western New York | allRequirements: county 'cattaraugus county' -> Western New York | allRequirements: county 'chautauqua county' -> Western New York | allRequirements: county 'allegany county' -> Western New York | allRequirements: county 'genesee county' -> Finger Lakes | allRequirements: county 'wyoming county' -> Finger Lakes | allRequirements: county 'steuben county' -> Southern Tier | allRequirements: county 'erie county' -> Western New York | allRequirements: county_name 'genesee' -> Finger Lakes
